21	kelsyw2021_WP_061443868.1	WP_061443868.1 hypothetical protein [Streptomyces sp. CCM_MD2014]	1.7e-116
22	kelsyw2021_01_1	TAK04201.1 hypothetical protein EPO34_03585 [Patescibacteria group bacterium]	3.8e-25
31	kelsyw2021_PJE65246.1	PJE65246.1 hypothetical protein COU91_02710 [Candidatus Saccharibacteria bacterium CG10_big_fil_rev_8_21_14_0_10_47_8]	1.4e-86
33	kelsyw2021_KPJ89865.1	KPJ89865.1 hypothetical protein AMJ53_15415 [Gammaproteobacteria bacterium SG8_11]	1.2e-123
34	kelsyw2021_PKN71198.1	PKN71198.1 hypothetical protein CVU54_01895 [Deltaproteobacteria bacterium HGW-Deltaproteobacteria-12]	4.1e-08
21	kelsyw2021_WP_061443868.1	WP_061443868.1 hypothetical protein [Streptomyces sp. CCM_MD2014]	1.7e-116
22	kelsyw2021_01_1	TAK04201.1 hypothetical protein EPO34_03585 [Patescibacteria group bacterium]	3.8e-25
31	kelsyw2021_PJE65246.1	PJE65246.1 hypothetical protein COU91_02710 [Candidatus Saccharibacteria bacterium CG10_big_fil_rev_8_21_14_0_10_47_8]	1.4e-86
33	kelsyw2021_KPJ89865.1	KPJ89865.1 hypothetical protein AMJ53_15415 [Gammaproteobacteria bacterium SG8_11]	1.2e-123
34	kelsyw2021_PKN71198.1	PKN71198.1 hypothetical protein CVU54_01895 [Deltaproteobacteria bacterium HGW-Deltaproteobacteria-12]	4.1e-08
